date,GBPUSD,EURUSD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDNZD,empty,sum
2021.08.16,107.99999999999699,-5.000000000010552,46.00000000000159,18.0000000000069,-76.99999999999375,100.0000000000112,257.000000000005,92.99999999999864,48.99999999999905,58.99999999999794,168.00000000000637,-104.99999999999955,68.00000000001205,-78.00000000000028,68.00000000001205,106.00000000000875,34.000000000006025,53.999999999998494,,963.000000000057
2021.08.16,129.00000000000134,-1.0000000000065512,51.000000000001044,23.00000000000635,-58.000000000002494,72.0000000000054,253.0000000000001,75.00000000000284,73.99999999999629,100.00000000000009,169.00000000001114,-170.00000000000347,86.00000000001273,-153.00000000000313,92.00000000001296,121.00000000000932,75.00000000000284,24.000000000001798,,962.0000000000485
2021.08.16,177.99999999998929,-22.0000000000109,75.00000000000284,21.00000000000435,8.000000000008,22.999999999995246,430.0000000000068,107.99999999999699,68.99999999999685,91.99999999999208,412.00000000000614,-292.00000000000335,180.00000000000682,-79.00000000000685,223.0000000000132,234.00000000000887,156.0000000000059,46.999999999997044,,1863.0000000000093
2021.08.16,174.99999999999181,-7.0000000000014495,75.00000000000284,26.000000000003798,-26.999999999999247,24.000000000001798,365.0000000000091,97.9999999999981,59.99999999999339,106.99999999999044,305.0000000000068,-293.99999999999426,106.99999999999932,-112.000000000001,173.00000000000182,177.0000000000067,109.00000000000887,31.000000000003247,,1392.000000000022
2021.08.16,167.9999999999904,4.000000000004,66.99999999999484,19.999999999997797,-31.999999999987594,29.00000000001235,332.00000000000784,90.99999999999665,53.999999999998494,121.99999999999989,240.0000000000091,-296.9999999999917,76.99999999999818,-144.99999999999514,114.00000000000432,142.00000000001012,77.00000000001239,48.000000000003595,,1111.0000000000655
2021.08.16,146.99999999998602,0.0,39.00000000000014,-2.000000000002,-58.99999999998684,18.0000000000069,344.0000000000083,58.99999999999794,29.000000000001247,134.99999999999625,220.00000000002728,-347.9999999999928,75.9999999999934,-209.9999999999991,115.0000000000091,109.99999999999943,54.000000000002046,36.0000000000138,,763.0000000000612
2021.08.16,109.00000000000354,0.0,-29.000000000001247,-26.999999999999247,-95.999999999985,21.00000000000435,240.0000000000091,-7.0000000000014495,5.999999999994898,163.99999999999747,44.00000000001114,-475.0000000000032,-36.000000000001364,-370.00000000000364,-25.99999999999625,-37.9999999999967,-42.00000000000159,-24.999999999986144,,-586.9999999999553
2021.08.16,92.99999999998754,15.999999999993797,-61.999999999995396,-47.9999999999925,-115.99999999998278,25.00000000000835,212.0000000000033,-36.999999999998145,-14.000000000002899,178.99999999999582,-15.999999999991132,-530.9999999999926,-61.00000000000705,-452.00000000000796,-87.99999999999386,-93.99999999999409,-85.99999999999852,-41.99999999998649,,-1121.9999999999548
2021.08.16,148.99999999999915,36.999999999998145,-21.999999999999797,30.000000000007798,-112.000000000001,9.999999999998899,203.00000000000296,-19.999999999997797,32.999999999994145,159.9999999999935,-14.999999999986358,-493.99999999999443,-88.99999999999864,-384.00000000000654,-91.99999999999875,-79.9999999999983,-31.999999999996476,-95.00000000000064,,-812.9999999999842
2021.08.16,144.99999999999514,38.99999999998904,-48.99999999999905,-17.999999999995797,-106.99999999999044,11.00000000000545,185.00000000000227,-43.999999999999595,-7.9999999999968985,161.00000000000003,-39.99999999999204,-558.9999999999984,-103.999999999985,-439.99999999999596,-115.99999999999966,-119.99999999999034,-93.99999999999409,-60.99999999999994,,-1218.9999999999454
