date,EURUSD,CADCHF,EURCAD,EURAUD,EURNZD,empty,sum
2017.12.11,-16.000000000016,-83.9999999999952,0.0,-25.999999999992696,0.0,,-126.0000000000039
2017.12.11,8.999999999992347,-47.9999999999925,139.9999999999846,1.0000000000065512,143.00000000000423,,244.99999999999523
2017.12.11,37.99999999998249,-43.999999999999595,219.99999999999798,45.000000000006146,173.00000000000094,,431.99999999998795
2017.12.11,10.999999999983245,-25.999999999992696,272.99999999998994,78.00000000000028,132.99999999998312,,468.9999999999639
2017.12.11,22.999999999995246,-32.999999999994145,268.0000000000016,73.99999999999629,46.999999999997044,,378.999999999996
2017.12.11,41.99999999998649,-25.999999999992696,252.99999999999213,2.0000000000131024,-97.00000000001374,,173.99999999998522
2017.12.11,65.99999999998829,-40.99999999999105,271.99999999998334,2.999999999997449,-205.99999999999508,,93.99999999998292
2017.12.11,81.9999999999821,-45.99999999999049,265.99999999998846,-21.00000000000435,-106.00000000000608,,174.9999999999696
2017.12.11,110.99999999999443,-30.999999999992145,289.9999999999903,-43.999999999999595,-106.00000000000608,,219.99999999998687
2017.12.11,101.99999999997988,-19.999999999997797,316.99999999998954,17.000000000000348,-15.00000000000945,,400.99999999996254
2017.12.11,118.99999999998023,-24.999999999997247,272.99999999998994,-49.99999999999449,-1202.9999999999984,,-886.00000000002
2017.12.11,153.9999999999875,-47.9999999999925,235.99999999999176,-75.00000000000284,-939.0000000000009,,-672.000000000017
2017.12.11,118.99999999998023,-41.9999999999976,224.99999999998633,-174.99999999999181,-987.0000000000045,,-860.0000000000274
2017.12.11,109.99999999998789,-34.000000000000696,228.99999999999034,-141.99999999999767,-922.0000000000006,,-759.0000000000207
2017.12.11,126.99999999998823,-54.999999999993946,219.99999999999798,-124.99999999999733,-1167.0000000000068,,-1000.0000000000118
2017.12.11,145.99999999997948,-68.00000000000139,168.99999999999693,-129.99999999998568,-1351.0000000000132,,-1234.0000000000239
2017.12.11,136.99999999998712,-82.99999999999974,173.99999999998528,-178.99999999999582,-1242.0000000000098,,-1193.000000000033
2017.12.11,132.99999999998312,-75.9999999999983,158.99999999999804,-139.9999999999846,-1282.0000000000055,,-1206.0000000000073
2017.12.11,127.99999999999478,-83.9999999999952,121.99999999999989,-244.9999999999841,-1710.999999999996,,-1789.9999999999804
2017.12.11,162.99999999997982,-76.99999999999375,194.99999999998963,-80.99999999999774,-1628.0000000000073,,-1428.0000000000293
2017.12.11,101.99999999997988,-88.99999999999464,144.99999999999514,-127.99999999999478,-1680.999999999999,,-1651.0000000000134
