,Unnamed: 0,Unnamed: 0.1,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,0,USDCHF,15,['USDJPY'],80.0,0.9888133333333321,B
1,1,1,EURUSD,10,"['EURGBP', 'GBPJPY']",80.0,-0.9981800000000001,S
2,2,2,USDJPY,15,"['EURNZD', 'NZDCAD', 'EURGBP']",100.0,1.0,B
3,3,3,USDCAD,10,['NZDCAD'],80.0,-0.19492047619047495,S
4,4,4,AUDUSD,10,"['AUDJPY', 'GBPAUD', 'EURJPY', 'USDCAD']",80.0,-0.9917975000000002,S
5,5,5,NZDUSD,10,"['AUDUSD', 'GBPAUD', 'AUDJPY']",80.0,-0.9987000000000001,S
6,6,6,GBPCHF,30,"['EURNZD', 'NZDCHF']",80.0,0.5022875533016026,B
7,7,7,EURCHF,10,"['USDJPY', 'EURAUD', 'EURCAD']",100.0,0.3122,B
8,8,8,CHFJPY,10,['GBPUSD'],80.0,-0.3282485714285704,S
9,9,9,CADCHF,10,"['EURNZD', 'NZDCAD', 'NZDCHF']",100.0,0.9998,B
10,10,10,AUDCHF,15,['NZDCHF'],80.0,0.9973533333333329,B
11,11,11,NZDCHF,10,['EURUSD'],80.0,0.9593500000000009,B
12,12,12,GBPCAD,15,['GBPCHF'],80.0,-0.6644476498501535,S
13,13,13,GBPAUD,15,['CHFJPY'],80.0,-0.7159709898434812,S
14,14,14,EURJPY,10,['NZDCAD'],80.0,0.19476710317460263,B
15,15,15,EURCAD,10,"['EURNZD', 'NZDCAD']",80.0,-0.99992,S
16,16,16,EURAUD,15,"['USDCHF', 'NZDCAD']",100.0,-1.0,S
17,17,17,EURNZD,20,"['CHFJPY', 'USDCHF', 'GBPUSD']",80.0,0.4730425793650795,B
18,18,18,AUDJPY,15,['CHFJPY'],80.0,0.7131488969363833,B
19,19,19,NZDJPY,30,['USDCHF'],80.0,0.5391351410604794,B
20,20,20,AUDCAD,10,"['USDCHF', 'EURUSD', 'USDCAD', 'EURJPY']",80.0,0.8559,B
21,21,21,NZDCAD,10,['NZDUSD'],80.0,-0.6676235714285779,S
